SEQN,Gender,Age,BodyWeight
94993,F,80,53.4
94994,F,18,59.3
94995,M,58,84.2
94996,F,55,NA
94997,F,44,49.6
94998,M,45,84.6
94999,F,2,16.2
95000,F,76,76.7
95001,F,80,77.8
95002,M,26,84.2
95003,F,10,NA
95004,M,80,93.9
95005,M,46,131.4
95006,M,11,37.6
95007,M,79,64.1
95008,F,9,52.5
95009,M,13,69.9
95010,M,4,NA
95011,F,65,98
95012,F,1,12.6
95013,M,56,106.5
95014,M,35,105.2
95015,F,7,18.8
95016,M,73,105
95017,M,5,20.6
95018,F,1,NA
95019,M,40,77.2
95020,F,80,56.8
95021,F,5,19
95022,F,16,54.1
95023,M,13,45.1
95024,M,19,80.7
95025,M,57,126.1
95026,M,20,83
95027,F,76,50.3
95028,M,30,96.9
95029,F,43,90.2
95030,M,63,75.9
95031,F,54,125.3
95032,F,12,34.5
95033,F,49,57.5
95034,F,61,59.4
95035,M,42,148
95036,M,80,121.1
95037,F,20,70.5
95038,F,7,29.7
95039,F,23,56.8
95040,F,26,143.6
95041,F,60,50.5
95042,F,65,75.8
95043,M,64,60.4
95044,F,67,101
95045,F,69,75.2
95046,F,63,69.3
95047,M,74,109.7
95048,M,23,82.7
95049,M,3,14.3
95050,M,6,25.4
95051,M,52,159.2
95052,F,40,86.8
95053,M,50,74.3
95054,F,16,83.8
95055,M,40,180.8
95056,F,34,120.7
95057,M,71,85
95058,F,36,163.2
95059,M,53,104.6
95060,F,44,51
95061,M,45,75.2
95062,M,61,65.1
95063,F,46,83.4
95064,M,27,70.3
95065,F,20,NA
95066,F,73,55.9
95067,F,55,132.9
95068,F,80,65.8
95069,M,26,72.9
95070,M,61,112.5
95071,F,38,62.6
95072,F,16,50.1
95073,F,71,115.7
95074,F,37,72.6
95075,M,70,36.8
95076,F,39,NA
95077,M,47,75
95078,F,0,9.9
95079,M,4,17.6
95080,M,28,83.7
95081,M,9,37.1
95082,M,80,NA
95083,M,37,125.9
95084,M,4,18.1
95085,F,0,8.3
95086,M,7,28.3
95087,F,8,27.9
95088,F,50,73.3
95089,F,31,98.2
95090,M,18,104.5
95091,M,62,67.9
95092,M,12,37.2
95093,F,51,77.6
95094,F,37,58.4
95095,F,80,79.1
95096,M,21,119.5
95097,F,66,71.2
95098,M,68,110.9
95099,F,70,44.8
95100,F,17,56.3
95101,F,80,74.5
95102,F,61,71
95103,M,39,92.7
95104,M,2,15.3
95105,M,67,84.4
95106,M,17,59.3
95107,F,6,20.9
95108,M,13,35.2
95109,F,3,12.4
95110,F,67,72.5
95111,M,15,84.4
95112,F,14,75.9
95113,F,20,84.3
95114,M,34,103.3
95115,F,33,51.5
95116,M,62,55.8
95117,F,9,34.1
95118,M,57,76
95119,M,20,NA
95120,M,10,26.5
95121,F,66,69.6
95122,F,6,19.7
95123,F,50,82.1
95124,M,58,52.5
95125,M,5,16.4
95126,F,59,70.8
95127,M,16,64.6
95128,F,33,77.4
95129,M,60,150.6
95130,F,2,13.4
95131,M,60,79.7
95132,F,9,33.5
95133,M,7,21.4
95134,M,37,80.5
95135,M,78,NA
95136,F,10,29.2
95137,F,53,63.2
95138,F,71,49.2
95139,F,29,NA
95140,F,42,79.2
95141,F,7,NA
95142,M,3,16.2
95143,F,51,51.2
95144,F,6,NA
95145,F,5,18.8
95146,F,10,31.5
95147,F,2,9.9
95148,F,56,92.3
95149,F,48,105.1
95150,M,15,58.3
95151,F,80,81.6
95152,M,59,81.6
95153,F,23,108.8
95154,F,8,35.5
95155,M,62,67.8
95156,F,3,13.5
95157,M,54,82.8
95158,F,15,47.9
95159,F,12,56
95160,F,66,86.2
95161,F,16,50.8
95162,M,17,82.3
95163,M,68,77.7
95164,M,1,14.2
95165,F,39,71.5
95166,F,0,8.1
95167,F,13,42.2
95168,F,59,73.8
95169,F,61,54.8
95170,F,67,90.9
95171,F,41,114
95172,F,71,64
95173,M,80,109.3
95174,F,25,73.7
95175,M,0,10.7
95176,F,9,55.7
95177,F,57,57.1
95178,M,1,15.4
95179,F,31,122.7
95180,M,4,19.1
95181,M,39,68
95182,M,56,103.6
95183,F,14,54.8
95184,F,21,73.8
95185,M,17,54
95186,F,28,68.3
95187,M,10,49.9
95188,F,11,40
95189,M,66,103.3
95190,F,28,46.1
95191,F,54,72.8
95192,M,15,62.2
95193,M,9,47.6
95194,M,19,80.3
95195,F,19,124.9
95196,F,1,12.1
95197,M,34,116.4
95198,F,19,99.7
95199,F,61,101
95200,F,23,58.9
95201,F,17,54.4
95202,F,23,75.6
95203,M,54,80.8
95204,F,18,49.5
95205,F,1,9.4
95206,M,47,52.9
95207,F,71,69.9
95208,M,78,76.7
95209,F,73,71
95210,F,44,86
95211,F,22,45.6
95212,M,3,18.1
95213,M,25,69.4
95214,M,70,77.8
95215,F,52,99.5
95216,M,50,76.6
95217,F,3,15.5
95218,F,16,53.1
95219,M,7,36.3
95220,F,61,69.7
95221,F,35,59.5
95222,F,72,84.2
95223,F,16,60.9
95224,M,73,67.9
95225,F,10,26.7
95226,M,8,37.8
95227,M,22,83
95228,M,46,80
95229,F,0,8.1
95230,M,0,10
95231,M,32,93.3
95232,F,23,77.7
95233,F,21,94.8
95234,M,7,NA
95235,M,4,14.9
95236,F,76,54.2
95237,M,29,70.9
95238,M,78,86.1
95239,F,23,74.6
95240,F,1,11.8
95241,F,29,NA
95242,F,58,65.6
95243,F,68,72.1
95244,F,48,75.2
95245,M,6,31.9
95246,F,0,10.8
95247,F,64,90
95248,F,0,8.2
95249,F,70,91.7
95250,M,44,82.4
95251,F,38,106.6
95252,M,70,103.2
95253,M,10,26.3
95254,F,3,12.5
95255,F,24,69.1
95256,F,66,65.8
95257,F,39,66.7
95258,M,62,111.8
95259,M,80,67
95260,M,26,75.6
95261,F,24,120.4
95262,F,24,79.9
95263,M,0,9.9
95264,F,18,53.4
95265,F,46,NA
95266,F,58,88.8
95267,M,1,9.1
95268,M,70,95.3
95269,M,18,55.4
95270,M,5,24.1
95271,M,0,7
95272,F,80,43.9
95273,M,62,101.2
95274,F,48,115.8
95275,F,41,55.4
95276,M,33,104.6
95277,M,0,11
95278,F,43,93.7
95279,M,36,73.1
95280,F,42,73.1
95281,F,61,90.6
95282,M,6,23.7
95283,M,18,74.7
95284,F,41,87.3
95285,F,6,25
95286,F,17,47.8
95287,F,56,54.8
95288,M,34,83.8
95289,F,56,70.8
95290,F,8,19.8
95291,M,4,16
95292,M,8,28.1
95293,M,16,64.5
95294,F,1,12.3
95295,M,5,17.4
95296,M,40,78.2
95297,M,15,65.7
95298,M,60,79.7
95299,F,7,23.8
95300,M,11,NA
95301,F,41,NA
95302,F,45,62.8
95303,M,15,98.3
95304,M,2,11.8
95305,F,17,64.4
95306,M,3,16.6
95307,M,19,83
95308,F,64,75.8
95309,F,5,18.8
95310,M,52,96.8
95311,F,10,76.2
95312,M,25,82.8
95313,F,54,60.1
95314,M,11,35.9
95315,F,63,109
95316,M,43,139.9
95317,F,5,17.6
95318,F,60,98.2
95319,F,55,68.5
95320,M,1,NA
95321,M,65,91.6
95322,M,60,NA
95323,M,21,64.6
95324,M,70,84.7
95325,M,68,74.6
95326,M,72,91.7
95327,F,58,NA
95328,F,17,54.7
95329,M,47,68.3
95330,F,77,76.9
95331,F,8,49.4
95332,F,75,62.1
95333,M,39,87.2
95334,F,60,82.6
95335,M,68,NA
95336,F,9,37.3
95337,F,13,70.4
95338,M,72,79.9
95339,F,71,NA
95340,M,52,NA
95341,F,0,3.8
95342,F,31,57.9
95343,F,61,NA
95344,M,11,39.3
95345,F,17,46.4
95346,F,61,74.8
95347,M,9,NA
95348,F,39,89.4
95349,M,14,NA
95350,F,14,113.7
95351,F,25,76.8
95352,F,50,59.2
95353,F,39,100.1
95354,M,8,25.5
95355,M,14,57.5
95356,M,61,63.4
95357,F,56,89.4
95358,F,70,93.4
95359,M,2,10
95360,M,69,70.6
95361,M,72,97.1
95362,F,42,57
95363,M,2,NA
95364,M,41,89.8
95365,F,0,9.7
95366,F,44,123.3
95367,F,55,99.4
95368,F,1,9.8
95369,F,15,58.3
95370,M,4,35.3
95371,M,7,35.5
95372,M,80,104
95373,M,13,88.1
95374,M,27,64.3
95375,M,56,75.4
95376,M,7,29
95377,M,63,107.3
95378,F,80,44.6
95379,M,59,54.2
95380,M,62,88.4
95381,F,17,60.3
95382,M,60,88.8
95383,F,5,15.8
95384,F,0,6.5
95385,F,28,68.9
95386,M,5,NA
95387,M,15,138.7
95388,M,17,106.2
95389,M,20,76.8
95390,F,46,NA
95391,F,44,55.8
95392,M,21,100.1
95393,F,28,81.8
95394,M,47,84.5
95395,F,13,37.9
95396,F,13,48.5
95397,M,68,88.1
95398,M,3,14.9
95399,F,13,44.6
95400,F,5,27
95401,F,80,41.8
95402,M,28,117.1
95403,F,49,60.3
95404,F,12,NA
95405,M,53,58.3
95406,M,80,78.2
95407,F,1,11.3
95408,F,9,38.5
95409,F,6,24.4
95410,M,76,70.9
95411,M,71,166
95412,M,60,108
95413,F,51,86.7
95414,M,27,91
95415,F,36,53.1
95416,F,36,51.1
95417,M,63,94.8
95418,M,59,85.9
95419,M,68,71.5
95420,F,18,57.7
95421,M,78,88.7
95422,F,39,95.2
95423,F,33,72.1
95424,M,40,119.5
95425,M,22,67.7
95426,M,0,3.8
95427,M,62,77.3
95428,M,0,6
95429,F,60,71.7
95430,M,2,15.2
95431,F,66,160.1
95432,F,18,103.3
95433,F,11,44.6
95434,F,78,59.8
95435,F,15,78.1
95436,F,43,58.8
95437,M,23,79.6
95438,M,1,NA
95439,M,3,NA
95440,F,69,NA
95441,M,0,6.3
95442,F,33,76.2
95443,F,0,6.8
95444,F,37,59.4
95445,F,24,65.1
95446,M,42,73.5
95447,F,70,91.7
95448,M,80,87.5
95449,M,55,86.4
95450,M,38,65.8
95451,F,3,18.4
95452,M,38,116.3
95453,M,39,79.1
95454,M,60,86.9
95455,M,47,88.8
95456,M,6,26.1
95457,F,16,112.3
95458,M,10,38.9
95459,M,63,70.6
95460,F,11,72.5
95461,F,8,18.6
95462,F,4,14.6
95463,M,19,98.7
95464,F,3,17.4
95465,F,56,72.6
95466,M,52,101.3
95467,F,80,59.5
95468,M,63,83.6
95469,M,28,58.6
95470,M,3,23.3
95471,M,80,63
95472,M,34,83.4
95473,M,36,74.2
95474,F,34,103.2
95475,F,8,27.1
95476,M,8,27.5
95477,F,13,46.1
95478,M,11,47.1
95479,F,57,60.2
95480,M,71,79.8
95481,M,19,66.8
95482,F,14,49.1
95483,F,0,9.4
95484,M,80,77.3
95485,M,18,67.9
95486,F,36,84
95487,M,17,62.2
95488,F,21,101.1
95489,F,9,32
95490,M,13,82.6
95491,M,2,11.8
95492,F,80,98.8
95493,M,25,87.1
95494,F,22,64
95495,M,75,81.3
95496,F,10,37.2
95497,M,6,21.9
95498,M,3,NA
95499,M,52,100.7
95500,F,61,114.6
95501,F,25,98.3
95502,M,1,11.8
95503,M,52,128.3
95504,F,61,135
95505,M,29,69.4
95506,M,48,76.7
95507,M,2,14.8
95508,M,63,94.4
95509,F,51,76.5
95510,F,51,56.7
95511,F,56,NA
95512,F,0,NA
95513,F,3,16.6
95514,M,35,87.8
95515,M,69,121.1
95516,M,15,60
95517,F,19,NA
95518,M,16,101.7
95519,F,53,76.2
95520,F,4,14.9
95521,M,13,58.3
95522,F,22,76.5
95523,F,9,29.8
95524,F,62,57.5
95525,F,51,76.2
95526,F,80,74.5
95527,M,58,82.5
95528,F,75,71.1
95529,F,2,NA
95530,M,0,9.1
95531,M,58,98.7
95532,M,24,NA
95533,M,68,84.6
95534,F,67,86.4
95535,M,46,145.7
95536,M,11,45.1
95537,M,48,80.5
95538,M,1,18.3
95539,M,69,88
95540,M,68,71.7
95541,F,65,106.2
95542,F,56,69.6
95543,F,28,60.1
95544,M,29,110.6
95545,M,14,44
95546,M,15,54.3
95547,M,57,70.6
95548,M,28,60.4
95549,F,53,97.9
95550,M,62,97.5
95551,F,57,50.4
95552,M,5,19.6
95553,M,79,98
95554,M,7,25.7
95555,M,18,109.2
95556,M,41,84.3
95557,F,79,55.1
95558,M,56,NA
95559,F,42,75.5
95560,M,1,11.2
95561,M,63,113.6
95562,F,1,9.8
95563,F,46,70.1
95564,M,11,45.1
95565,M,29,78.9
95566,F,78,110.4
95567,M,1,12.6
95568,F,34,45.4
95569,F,23,78.2
95570,F,2,10.5
95571,F,54,72.3
95572,M,75,76
95573,M,23,98.3
95574,F,36,97.2
95575,M,64,65.9
95576,F,73,66.3
95577,F,63,72.5
95578,F,62,53.3
95579,M,54,NA
95580,M,1,NA
95581,F,44,58.4
95582,F,32,70.6
95583,F,69,62.6
95584,M,9,26.9
95585,M,19,97.1
95586,F,26,51
95587,F,29,104.4
95588,M,72,53.9
95589,F,63,66.7
95590,M,61,81
95591,F,36,47.5
95592,F,14,83.8
95593,M,70,79.6
95594,M,50,99.5
95595,F,43,135.6
95596,M,12,63.3
95597,M,71,101.4
95598,M,22,87.7
95599,M,47,118.6
95600,M,74,NA
95601,M,69,100.7
95602,M,21,92.9
95603,M,3,15
95604,M,16,74.9
95605,M,3,14.7
95606,M,25,108.4
95607,M,42,69
95608,M,67,77.9
95609,F,22,78.1
95610,F,41,68.1
95611,M,53,58.3
95612,M,24,103.3
95613,M,9,29.6
95614,F,2,12.3
95615,M,78,73.1
95616,F,17,73.2
95617,M,60,91.9
95618,F,16,83.7
95619,F,16,54.8
95620,F,6,20.8
95621,M,73,68.1
95622,F,42,57.9
95623,F,60,53.8
95624,M,0,5
95625,M,43,69.8
95626,M,76,87.1
95627,M,74,NA
95628,F,18,55
95629,F,80,NA
95630,F,80,95.3
95631,M,13,44.4
95632,M,1,11.2
95633,F,64,72.9
95634,M,13,62.2
95635,M,7,33
95636,F,51,64.7
95637,M,74,99.9
95638,M,16,39.6
95639,M,31,72.3
95640,M,19,68.5
95641,F,50,131.8
95642,F,13,99
95643,M,20,59.2
95644,F,62,79.4
95645,F,67,56.4
95646,M,0,6.5
95647,F,8,32.9
95648,M,72,86.9
95649,M,48,87.3
95650,F,3,13.2
95651,M,80,89.5
95652,F,44,58.6
95653,M,5,17.3
95654,M,72,76.9
95655,M,22,105.1
95656,M,78,89.6
95657,M,31,78.6
95658,M,29,98.6
95659,M,46,86.2
95660,M,7,27.4
95661,M,59,NA
95662,F,44,65.2
95663,M,43,86.9
95664,M,47,105.5
95665,M,23,84.9
95666,M,33,124.1
95667,M,2,17.6
95668,F,68,85.6
95669,F,56,71.4
95670,F,4,13.6
95671,F,66,70.9
95672,M,75,104.5
95673,M,80,75
95674,M,49,89.7
95675,M,66,85.3
95676,M,53,90.3
95677,M,8,42.8
95678,M,34,85.5
95679,M,14,56.3
95680,F,45,72.5
95681,F,80,64.7
95682,M,3,17.9
95683,F,0,8.8
95684,M,30,75.2
95685,M,30,130.3
95686,M,18,91.1
95687,M,80,74.2
95688,F,8,29.3
95689,F,60,112.2
95690,M,54,75.1
95691,M,0,5.9
95692,F,69,51.4
95693,F,2,13.5
95694,F,50,69.6
95695,M,0,6.6
95696,M,26,60.5
95697,F,0,4.3
95698,F,55,78
95699,F,22,64.7
95700,F,59,70.5
95701,M,8,25.6
95702,F,16,52.3
95703,F,24,111.7
95704,M,50,70.1
95705,M,18,65.1
95706,F,6,23.4
95707,F,5,16.7
95708,M,52,109.7
95709,M,11,58.1
95710,M,61,102
95711,M,54,69.4
95712,F,12,52.1
95713,M,64,110.5
95714,F,63,131.8
95715,F,12,57.7
95716,F,38,64
95717,M,76,83.3
95718,M,63,79.9
95719,M,22,61.5
95720,F,59,61.7
95721,F,14,43.2
95722,M,38,88.9
95723,F,80,69.3
95724,F,4,15.6
95725,M,70,146.3
95726,F,32,68.6
95727,M,52,65.2
95728,M,1,14.5
95729,F,71,102.4
95730,F,0,6.3
95731,F,47,64.7
95732,F,14,50.9
95733,M,22,53.7
95734,F,71,81
95735,M,8,27.3
95736,M,58,76.3
95737,M,0,9.3
95738,F,49,104.8
95739,M,6,28
95740,M,5,20.5
95741,F,19,64.3
95742,M,9,28.2
95743,F,58,NA
95744,F,57,66.7
95745,F,60,90.6
95746,M,7,25.3
95747,M,10,35.5
95748,M,43,89.6
95749,M,10,48.8
95750,F,5,23.4
95751,M,4,21.2
95752,M,80,65.7
95753,F,0,7.8
95754,M,33,113
95755,F,14,55.6
95756,M,26,60.7
95757,M,13,94.3
95758,M,15,66.9
95759,F,63,98.2
95760,M,14,83.3
95761,M,51,63.1
95762,M,32,94
95763,M,75,86.3
95764,M,6,28.5
95765,M,51,62.4
95766,F,19,92.6
95767,M,60,160.9
95768,M,23,66.9
95769,M,61,117.9
95770,M,50,117.1
95771,F,63,103.4
95772,F,64,67.7
95773,F,66,95.5
95774,M,9,38.7
95775,F,37,68.5
95776,M,13,37.6
95777,F,78,69.7
95778,F,35,62.9
95779,F,12,NA
95780,F,78,63.9
95781,F,3,17.1
95782,M,18,41.2
95783,M,16,57.9
95784,F,4,20.7
95785,M,51,73.9
95786,F,5,19.8
95787,M,27,119.4
95788,F,28,72.9
95789,F,48,78.6
95790,F,8,NA
95791,M,33,92.2
95792,M,23,85.3
95793,F,26,42.4
95794,M,63,70.2
95795,M,74,NA
95796,M,4,17.4
95797,M,4,16.9
95798,F,76,80.7
95799,F,25,69.9
95800,M,3,14.9
95801,M,10,36.3
95802,M,68,78.6
95803,M,38,100.8
95804,M,0,4.9
95805,M,6,33.5
95806,F,11,38.9
95807,F,34,118.4
95808,F,19,69.3
95809,F,59,81.6
95810,M,2,9.5
95811,F,24,39.3
95812,F,63,71.7
95813,M,80,53.6
95814,M,45,117.3
95815,M,3,16
95816,F,14,73.1
95817,M,12,47.2
95818,M,12,50.9
95819,M,80,115.2
95820,M,37,130.5
95821,F,16,59.1
95822,M,66,72.3
95823,F,9,57.7
95824,M,66,98.3
95825,F,45,76.1
95826,M,11,61.3
95827,M,14,79.7
95828,M,80,82
95829,M,70,78.8
95830,F,5,24.3
95831,F,63,83.3
95832,M,11,NA
95833,M,61,81.1
95834,F,17,57
95835,F,48,76.8
95836,F,55,107.1
95837,M,2,14.9
95838,M,80,99
95839,M,44,93.8
95840,M,10,24.1
95841,M,27,99.7
95842,M,5,36
95843,M,73,76.8
95844,F,70,65.5
95845,M,2,NA
95846,M,80,68.5
95847,F,0,8.3
95848,F,52,57.1
95849,F,40,65.1
95850,F,27,107.9
95851,M,28,85
95852,F,1,NA
95853,F,24,104.9
95854,M,28,133.7
95855,F,40,NA
95856,M,5,23.8
95857,M,14,64.1
95858,M,32,86.3
95859,F,13,49.9
95860,F,51,53.8
95861,F,10,33.9
95862,M,80,48.9
95863,F,80,90.8
95864,M,73,52.7
95865,F,47,99.3
95866,F,80,69.1
95867,F,34,126.1
95868,M,80,92.6
95869,M,66,90.2
95870,F,20,104.6
95871,F,5,17.7
95872,F,0,8.8
95873,M,76,77.3
95874,F,18,84.9
95875,F,67,93.5
95876,F,6,22.4
95877,M,62,64.6
95878,F,1,10.4
95879,M,13,51.9
95880,F,69,110.7
95881,F,64,63
95882,M,26,75
95883,F,31,131.1
95884,F,5,17.3
95885,F,0,5.4
95886,F,57,63.3
95887,F,8,22.1
95888,F,9,33.4
95889,F,17,52.3
95890,M,37,NA
95891,M,56,69.9
95892,M,17,93.4
95893,M,0,6.6
95894,F,0,7.4
95895,F,12,56.3
95896,F,32,66.6
95897,M,5,19
95898,F,14,77.8
95899,M,62,78.6
95900,M,31,95.9
95901,F,3,14.9
95902,F,61,82.6
95903,M,21,79.4
95904,F,53,65.2
95905,M,5,19.2
95906,F,16,52.6
95907,F,19,NA
95908,M,69,93.8
95909,M,5,23.2
95910,M,50,80.1
95911,F,38,61.8
95912,M,50,89.8
95913,F,80,54.6
95914,F,47,126.2
95915,M,57,101.5
95916,M,51,NA
95917,F,74,95
95918,F,45,NA
95919,M,47,158.5
95920,F,8,36.5
95921,M,4,21.8
95922,M,25,83.4
95923,M,8,57.5
95924,F,65,110.2
95925,M,2,14.5
95926,F,12,42.3
95927,F,18,50.2
95928,F,56,69.1
95929,F,10,43.1
95930,M,5,35.1
95931,F,69,74.4
95932,M,1,11.9
95933,M,16,123.5
95934,F,12,55
95935,M,19,89.8
95936,F,63,106.8
95937,M,9,28.2
95938,M,1,11.6
95939,M,76,84.1
95940,F,4,NA
95941,F,3,12.5
95942,F,6,18.1
95943,F,9,23.5
95944,M,54,127.6
95945,F,70,69.4
95946,M,62,NA
95947,F,3,15.5
95948,F,18,67.6
95949,M,7,21.6
95950,M,45,75.2
95951,M,24,69.3
95952,M,68,83
95953,F,18,55.7
95954,M,35,NA
95955,F,22,102.1
95956,M,17,99.7
95957,F,2,12.1
95958,F,12,71.8
95959,M,17,48.2
95960,F,11,85.1
95961,M,4,17.4
95962,M,32,185
95963,F,8,28.4
95964,F,80,71.1
95965,M,47,NA
95966,M,66,103.3
95967,F,8,19
95968,F,49,50.1
95969,M,48,131.2
95970,F,7,25.3
95971,F,71,111.7
95972,F,3,13.4
95973,F,21,60.7
95974,F,4,17.5
95975,M,8,49.7
95976,F,65,89.9
95977,F,26,69.7
95978,M,57,73.9
95979,M,66,62
95980,M,8,21.6
95981,M,69,78.8
95982,F,2,NA
95983,F,78,83.1
95984,F,9,23.3
95985,M,62,75.3
95986,M,48,88.2
95987,M,80,79.9
95988,M,80,104.1
95989,F,13,68.6
95990,F,28,59.9
95991,M,43,83
95992,F,79,79.9
95993,F,80,63.9
95994,F,11,66.7
95995,F,47,63.3
95996,F,42,108
95997,F,61,75.6
95998,M,29,78.8
95999,M,16,73.3
96000,M,29,62.2
96001,M,64,149.7
96002,F,34,100.3
96003,F,49,73.5
96004,M,55,59
96005,M,14,89.2
96006,F,38,69.9
96007,M,74,NA
96008,M,52,94.3
96009,M,4,15.5
96010,M,64,58.7
96011,F,32,64
96012,M,16,131.9
96013,F,15,66.1
96014,F,36,46.9
96015,F,1,8.8
96016,M,80,84.6
96017,M,64,61.4
96018,F,12,71.7
96019,F,80,59.8
96020,F,80,57.1
96021,M,0,6
96022,M,56,78.7
96023,F,73,74.9
96024,F,41,NA
96025,M,40,104.1
96026,F,8,27.5
96027,F,80,67.6
96028,M,10,33
96029,M,31,80.8
96030,M,59,87.6
96031,F,24,68.2
96032,F,11,52.1
96033,F,60,88.7
96034,M,57,81.2
96035,F,20,55.7
96036,F,13,78.3
96037,M,60,124.5
96038,F,55,56.9
96039,M,1,12.3
96040,M,9,38.6
96041,M,80,65.3
96042,F,6,25.3
96043,F,9,24.3
96044,F,61,114.6
96045,F,5,27.6
96046,M,4,17.3
96047,M,10,33.5
96048,M,47,70.9
96049,M,69,79.7
96050,F,46,84.7
96051,F,11,44.1
96052,F,14,48.9
96053,F,19,NA
96054,F,0,7
96055,M,10,44.1
96056,M,20,76.2
96057,M,11,38.6
96058,F,10,27.2
96059,F,0,8
96060,F,12,NA
96061,M,67,74.4
96062,F,1,11.1
96063,F,27,52.1
96064,M,49,75.3
96065,M,66,63.5
96066,M,52,61.4
96067,F,42,143
96068,F,17,75.3
96069,M,7,25.1
96070,M,45,69.4
96071,M,12,30.9
96072,M,27,NA
96073,F,2,14.1
96074,F,34,111.9
96075,F,2,NA
96076,M,28,NA
96077,M,80,65.7
96078,M,19,137.3
96079,M,52,80.6
96080,F,3,NA
96081,F,10,45.2
96082,M,37,120.1
96083,F,17,67.4
96084,F,34,158.2
96085,M,25,100.9
96086,M,65,110.9
96087,M,68,70.4
96088,M,20,61
96089,M,76,93.8
96090,M,63,96.8
96091,F,54,77.4
96092,M,22,56.1
96093,F,20,95.9
96094,F,52,119.1
96095,F,2,NA
96096,M,52,111.6
96097,M,58,84.5
96098,M,42,116.1
96099,M,63,58.6
96100,M,65,65.5
96101,M,52,79.5
96102,M,7,NA
96103,F,23,109.4
96104,M,17,55.7
96105,F,24,55.9
96106,F,10,31.1
96107,F,23,NA
96108,F,47,98.3
96109,M,8,38.4
96110,M,65,NA
96111,F,31,82
96112,M,73,113
96113,M,2,12.9
96114,M,68,NA
96115,F,71,NA
96116,F,54,71
96117,M,68,70.6
96118,F,2,12.5
96119,F,14,81
96120,M,60,73.6
96121,F,65,81.3
96122,F,54,47.5
96123,F,35,86.6
96124,F,52,67.3
96125,F,28,61.1
96126,M,5,19.9
96127,M,17,84.8
96128,M,16,63.7
96129,M,5,23.5
96130,M,61,77.8
96131,M,3,26.5
96132,M,16,76.4
96133,M,32,154.3
96134,F,65,64.1
96135,F,73,93.6
96136,M,62,70.6
96137,F,48,93.4
96138,M,34,92.7
96139,M,27,62.3
96140,M,54,77.2
96141,M,60,71.4
96142,M,3,19.2
96143,M,55,87.8
96144,F,64,83.8
96145,F,78,104.5
96146,F,0,4.9
96147,M,31,NA
96148,F,2,12
96149,F,63,61.7
96150,M,23,53.9
96151,M,57,86.3
96152,M,61,92.2
96153,F,10,28.5
96154,F,1,11.3
96155,M,4,16.7
96156,M,46,70.8
96157,M,11,37
96158,M,26,131.4
96159,F,61,97.2
96160,F,58,63.4
96161,F,9,58.4
96162,F,60,91
96163,F,35,70.4
96164,F,64,59
96165,F,64,66.4
96166,F,8,27.8
96167,F,80,NA
96168,F,13,43.6
96169,F,63,64.3
96170,F,72,74
96171,F,80,70.7
96172,F,80,70.3
96173,F,61,NA
96174,M,8,28.6
96175,M,39,97.2
96176,M,6,21.6
96177,F,16,77.8
96178,M,63,84.4
96179,M,64,90.9
96180,F,4,21.6
96181,M,74,88.9
96182,F,0,5.3
96183,M,0,6.2
96184,M,80,66.7
96185,F,75,78.3
96186,M,45,123.8
96187,M,11,34
96188,F,55,79.7
96189,M,50,161.6
96190,M,54,59.5
96191,F,39,76.1
96192,F,14,65.3
96193,M,8,32.9
96194,F,4,18.3
96195,M,80,105
96196,F,34,157.4
96197,M,12,59
96198,F,29,51.4
96199,M,7,27.1
96200,M,0,7.8
96201,M,11,39.9
96202,M,10,37.5
96203,M,5,27
96204,F,3,14
96205,M,52,83
96206,M,9,35.2
96207,F,3,16.3
96208,F,2,12.1
96209,M,2,15.6
96210,M,80,91.7
96211,M,32,104.6
96212,F,0,8
96213,F,17,101.5
96214,F,13,78.5
96215,F,0,NA
96216,F,56,75.8
96217,M,71,101
96218,F,42,NA
96219,F,41,106.2
96220,M,33,83.3
96221,M,66,117.1
96222,F,40,68.4
96223,M,70,58.3
96224,F,59,65
96225,M,6,23.6
96226,M,31,95.9
96227,F,6,26.9
96228,M,4,NA
96229,F,24,38.2
96230,M,60,114.8
96231,F,2,9.8
96232,M,7,35.7
96233,M,18,72.8
96234,M,40,121.9
96235,M,17,59.4
96236,F,78,50.7
96237,F,58,56.3
96238,M,18,72.6
96239,F,69,83.5
96240,F,42,69.2
96241,F,18,47.3
96242,M,64,67.8
96243,F,29,67.9
96244,F,38,57.7
96245,F,60,79.9
96246,F,12,44.8
96247,M,11,37.4
96248,F,7,18.4
96249,F,58,69.9
96250,M,42,97.1
96251,F,4,21.1
96252,F,79,50.3
96253,F,47,97
96254,M,3,15.4
96255,M,0,5.8
96256,M,1,10.6
96257,F,32,68.4
96258,F,6,28.7
96259,M,9,28.7
96260,M,12,47.7
96261,F,16,58.7
96262,M,52,NA
96263,M,12,35.2
96264,F,45,NA
96265,M,66,73.5
96266,F,53,54.8
96267,M,0,8.6
96268,M,80,79
96269,F,33,63.8
96270,M,25,86.9
96271,M,70,59.5
96272,M,29,76.9
96273,M,13,47.8
96274,M,6,NA
96275,F,31,70.4
96276,M,49,124
96277,F,5,23.2
96278,F,30,NA
96279,F,54,81.4
96280,F,19,87.5
96281,F,15,NA
96282,M,49,108.1
96283,M,46,86.8
96284,M,71,107.7
96285,F,16,64.5
96286,M,12,39.4
96287,F,74,84.6
96288,M,19,86.2
96289,M,17,72
96290,F,73,79.9
96291,F,53,136.5
