source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0
product,PT.0400.010,aquarium,gas,0.2,5,1,0,0,1,0,0,1,1,1,0
product,PT.0400.010,aquarium,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0
product,PT.0400.010,aquarium,powder,0.2,5,1,0,0,1,0,0,1,1,1,0
product,PT.0400.010,aquarium,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,PT.0400.010,aquarium,solid,0.2,5,1,0,0,1,0,0,1,0,1,0
product,SE.0300.020,bicycle cleaner,aerosol,0.25,4,0,0,0,1,0,1,1,0,0,0
product,SE.0300.020,bicycle cleaner,gel,0.25,4,0,0,0,1,0,0,1,0,0,0
product,SE.0300.020,bicycle cleaner,liquid,0.25,4,0,0,0,1,0,0,1,0,0,0
product,SE.0300.020,bicycle cleaner,pump spray,0.25,4,0,0,0,1,0,1,1,0,0,0
product,SE.0400.020,reel oil,aerosol,0.25,4,0,0,0,1,0,1,1,0,0,0
product,SE.0400.020,reel oil,gel,0.25,4,0,0,0,1,0,0,1,0,0,0
product,SE.0400.020,reel oil,liquid,0.25,4,0,0,0,1,0,0,1,0,0,0
product,SE.0400.020,reel oil,pump spray,0.25,4,0,0,0,1,0,1,1,0,0,0
product,SE.0600.010,gun cleaner,aerosol,0.333333333,3,0,0,0,1,0,1,1,0,0,0
product,SE.0600.010,gun cleaner,liquid,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,SE.0600.010,gun cleaner,pump spray,0.333333333,3,0,0,0,1,0,1,1,0,0,0
product,SE.0800.030,wax,aerosol,0.25,4,0,0,0,1,0,1,1,0,0,0
product,SE.0800.030,wax,gel,0.25,4,0,0,0,1,0,0,1,0,0,0
product,SE.0800.030,wax,liquid,0.25,4,0,0,0,1,0,0,1,0,0,0
product,SE.0800.030,wax,solid,0.25,4,0,0,0,1,0,0,1,0,0,0
product,VE.0100.010,auto paint,liquid,0.5,2,0,0,0,1,0,0,1,0,0,0
