source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0,row.num
product,PC.2300.120,makeup primer,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0,509
product,PC.2300.120,makeup primer,paste,0.2,5,1,0,0,1,0,0,1,1,1,0,510
product,PC.2300.120,makeup primer,powder,0.2,5,1,0,0,1,0,0,1,1,1,0,511
product,PC.2300.120,makeup primer,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0,512
product,PC.2300.130,makeup remover,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0,513
product,PC.2300.130,makeup remover,gel,0.2,5,1,0,0,1,0,0,1,1,1,0,514
product,PC.2300.130,makeup remover,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0,515
product,PC.2300.130,makeup remover,paste,0.2,5,1,0,0,1,0,0,1,1,1,0,516
product,PC.2300.130,makeup remover,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0,517
product,PC.2300.140,makeup set,aerosol,0.166666667,6,1,0,0,1,0,1,1,1,1,0,518
product,PC.2300.140,makeup set,gel,0.166666667,6,1,0,0,1,0,0,1,1,1,0,519
product,PC.2300.140,makeup set,liquid,0.166666667,6,1,0,0,1,0,0,1,1,1,0,520
product,PC.2300.140,makeup set,paste,0.166666667,6,1,0,0,1,0,0,1,1,1,0,521
