source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0,row.num
product,PC.0200.010,bite relief,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,300
product,PC.0200.010,bite relief,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,301
product,PC.0200.010,bite relief,pump spray,0.25,4,1,0,0,1,0,1,1,1,1,0,302
product,PC.0300.010,body adhesive,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,303
product,PC.0300.010,body adhesive,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,304
product,PC.0300.010,body adhesive,pump spray,0.333333333,3,1,0,0,1,0,1,1,1,1,0,305
product,PC.0400.010,body care set,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0,306
product,PC.0400.010,body care set,gel,0.2,5,1,0,0,1,0,0,1,1,1,0,307
product,PC.0400.010,body care set,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0,308
product,PC.0400.010,body care set,powder,0.2,5,1,0,0,1,0,0,1,1,1,0,309
product,PC.0400.010,body care set,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0,310
product,PC.0500.010,bar soap,solid,1,1,1,0,0,1,0,0,1,0,1,0,311
product,PC.0500.020,body scrub,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,312
product,PC.0500.020,body scrub,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,313
product,PC.0500.020,body scrub,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,314
product,PC.0500.030,body wash,foam spray,0.25,4,1,0,0,1,0,1,1,1,1,0,315
product,PC.0500.030,body wash,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,316
product,PC.0500.030,body wash,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,317
product,PC.0500.030,body wash,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,318
product,PC.0500.040,body wipes,wipes,1,1,1,0,0,1,0,0,1,1,1,0,319
product,PC.0500.050,hand sanitizer,gel,0.5,2,1,0,0,1,0,0,1,1,1,0,320
product,PC.0500.050,hand sanitizer,liquid,0.5,2,1,0,0,1,0,0,1,1,1,0,321
product,PC.0500.060,hand soap,gel,0.5,2,1,0,0,1,0,0,1,1,1,0,322
product,PC.0500.060,hand soap,liquid,0.5,2,1,0,0,1,0,0,1,1,1,0,323
product,PC.0500.070,hand wipes,wipes,1,1,1,0,0,1,0,0,1,1,1,0,324
product,PC.0600.010,body oil,liquid,1,1,1,0,0,1,0,0,1,1,1,0,325
product,PC.0700.010,body powder,powder,1,1,1,0,0,1,0,0,1,1,1,0,326
product,PC.0800.010,baby lotion,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,327
product,PC.0800.010,baby lotion,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,328
product,PC.0800.010,baby lotion,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,329
product,PC.0800.020,baby oil,liquid,1,1,1,0,0,1,0,0,1,1,1,0,330
product,PC.0800.030,baby powder,powder,1,1,1,0,0,1,0,0,1,1,1,0,331
product,PC.0800.040,baby shampoo,foam spray,0.333333333,3,1,0,0,1,0,1,1,1,1,0,332
product,PC.0800.040,baby shampoo,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,333
product,PC.0800.040,baby shampoo,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,334
product,PC.0800.050,baby wash,liquid,1,1,1,0,0,1,0,0,1,1,1,0,335
product,PC.0800.060,baby wipes,wipes,1,1,1,0,0,1,0,0,1,1,1,0,336
product,PC.0800.070,bath paints/crayons,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,337
product,PC.0800.070,bath paints/crayons,solid,0.333333333,3,1,0,0,1,0,0,1,0,1,0,338
product,PC.0800.070,bath paints/crayons,liquid,0.333333333,3,1,0,0,1,0,0,1,0,1,0,713
product,PC.0800.080,diaper cream,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,339
product,PC.0800.080,diaper cream,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,340
product,PC.0800.080,diaper cream,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,341
product,PC.0900.030,denture adhesive,gel,0.25,4,1,0,0,1,1,0,1,1,1,0,342
product,PC.0900.030,denture adhesive,paste,0.25,4,1,0,0,1,1,0,1,1,1,0,343
product,PC.0900.030,denture adhesive,powder,0.25,4,1,0,0,1,1,0,1,1,1,0,344
product,PC.0900.030,denture adhesive,solid,0.25,4,1,0,0,1,1,0,1,0,1,0,345
product,PC.0900.040,denture cleaner,gel,0.2,5,1,0,0,1,1,0,1,1,1,0,346
product,PC.0900.040,denture cleaner,liquid,0.2,5,1,0,0,1,1,0,1,1,1,0,347
product,PC.0900.040,denture cleaner,paste,0.2,5,1,0,0,1,1,0,1,1,1,0,348
product,PC.0900.040,denture cleaner,powder,0.2,5,1,0,0,1,1,0,1,1,1,0,349
product,PC.0900.040,denture cleaner,solid,0.2,5,1,0,0,1,1,0,1,0,1,0,350
product,PC.0900.050,mouthwash,liquid,1,1,1,0,0,1,1,0,1,1,1,0,351
product,PC.0900.060,teeth whitener,gel,0.5,2,1,0,0,1,1,0,1,1,1,0,352
product,PC.0900.060,teeth whitener,powder,0.5,2,1,0,0,1,1,0,1,1,1,0,353
product,PC.0900.070,toothpaste,gel,0.333333333,3,1,0,0,1,1,0,1,1,1,0,354
product,PC.0900.070,toothpaste,paste,0.333333333,3,1,0,0,1,1,0,1,1,1,0,355
product,PC.0900.070,toothpaste,powder,0.333333333,3,1,0,0,1,1,0,1,1,1,0,356
product,PC.1000.010,deodorant,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0,357
product,PC.1000.010,deodorant,gel,0.2,5,1,0,0,1,0,0,1,1,1,0,358
product,PC.1000.010,deodorant,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0,359
product,PC.1000.010,deodorant,paste,0.2,5,1,0,0,1,0,0,1,1,1,0,360
product,PC.1000.010,deodorant,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0,361
product,PC.1100.020,contact care,liquid,1,1,1,0,0,1,0,0,1,1,1,0,362
product,PC.1100.030,eye cream,gel,0.5,2,1,0,0,1,0,0,1,1,1,0,363
product,PC.1100.030,eye cream,paste,0.5,2,1,0,0,1,0,0,1,1,1,0,364
product,PC.1100.040,eye drops,liquid,1,1,1,0,0,1,0,0,1,1,1,0,365
product,PC.1100.050,eye lid spray,pump spray,1,1,1,0,0,1,0,1,1,1,1,0,366
product,PC.1100.060,eye products,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,367
product,PC.1100.060,eye products,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,368
product,PC.1100.060,eye products,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,369
product,PC.1200.010,face cleansing wipes,wipes,1,1,1,0,0,1,0,0,1,1,1,0,370
product,PC.1200.020,face cream/moisturizer,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,371
product,PC.1200.020,face cream/moisturizer,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,372
product,PC.1200.020,face cream/moisturizer,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,373
product,PC.1200.030,face mask,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,374
product,PC.1200.030,face mask,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,375
product,PC.1200.030,face mask,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,376
product,PC.1200.030,face mask,solid,0.25,4,1,0,0,1,0,0,1,1,1,0,714
